,full_text,username,Kategori,created_at,tweet_english
0,edy pram pastilah prabowo anies punya prestasi,MarahIchsan,Capres,Fri Dec 15 04:04:44 +0000 2023,Edy Pram must be Prabowo Anies has an achievement
1,suasana pedesaan memang selalu menyenangkan udara segar rimbunnya tumbuhan hijau sungai jernih penuh ikan ikan kecil besar menarik angin dieng gacoan adidas semalem bukan ordal anies,Agung_wiyo,Capres,Fri Dec 15 04:04:33 +0000 2023,The rural atmosphere is always pleased the fresh air of the fresh green plants of the green river full
2,program anies hanyalah mengubah nama rumah sakit se indonesia wkwk jungkook is coming olivia gacoan daesang bangtan debut karina wonbin batter up 100m views,Alfakton_i,Capres,Fri Dec 15 04:04:31 +0000 2023,"Anies program is only changing the name of a hospital in Indonesia, Jungkook is coming olivia gacoan daesang bangtan debut karina wonbin batter up 100m views"
3,umparan niesbaswedan anies berbohong memenipu rasa bersalah,justtheway333,Capres,Fri Dec 15 04:04:27 +0000 2023,Anies Baswedan Anies coil lying to deceive guilt
4,bicara sesuai fakta anies lantang sebut lampung mempunyai alat pemantau polusi udara gacoan anies gempa daesang pagii batter up 100m views pilihan terbaik,singgihabdrchmn,Capres,Fri Dec 15 04:04:26 +0000 2023,Talk according to the facts of Anies Lantang Temut Lampung has an air pollution monitoring device Anies Anies Earthquake Daesang Pagii Batter Up 100m Views Best Choice
5,prabowo sindir anies baswedan apbd paling besar kok mas anies gagal memimpin jakarta gacoan anies gempa daesang pagii batter up 100m views pilihan terbaik,singgihabdrchmn,Capres,Fri Dec 15 04:04:25 +0000 2023,Prabowo Sindir Anies Baswedan APBD is the biggest Kok Anies failed to lead Jakarta Gacoan Anies Earthquake Daesang Pagii Batter Up 100m Views Best Choice
6,asyimmah alesan jelas pak anies menjelaskan sejelas jelas nya engga paham dungu berarti,7f33229758ab489,Capres,Fri Dec 15 04:04:15 +0000 2023,Ashimmah clear reasons Pak Anies explained as clearly as he didn't understand stupid meaning
7,rochandra inunnajib wow mantap sekali ini artinya bro anies menjadi presiden ri,MisterMarmut,Capres,Fri Dec 15 04:04:13 +0000 2023,"Rochandra Inunnajib Wow This is great, meaning Bro Anies is the President of the Republic of Indonesia"
8,jengcute16 dulu belajar majas kelas 8 smp paham apa dibilang pak anies kalo ga paham mungkin mengenyam kelas 8,id_edx,Capres,Fri Dec 15 04:04:12 +0000 2023,Ajengcute16 used to learn majas 8th grade junior high school understood what to say Mr. Anies if he did not understand maybe to get the 8th grade
9,vonenews kasian kiki padahal fakta memang si anies jago berkata kata demi menarik simpati padahal implementasinya dijamin nol cth waktu jd mentri gubernur aja kerja nya standar banget,bimasakti_2013,Capres,Fri Dec 15 04:04:03 +0000 2023,Vonews is sorry for Kiki even though the fact is that Anies is good at saying the word for the sake of attracting sympathy even though the implementation is guaranteed zero for when the minister of the governor just work very standard
10,trike bravo b anaknya anies cakep bener anak capres mukanya ga tengil,FrankSudiro,Capres,Fri Dec 15 04:04:00 +0000 2023,Trike Bravo B Anies Anies Cute Child Candidate not his face
11,etikcom partai mendukung pak anies tidak tahan menjadi oposisi nasdem pkb tuh msh yang jabat mentri imin msh jabat wakil ketua dprri nampaknya betah banget dgn kekuasaan mundur dong,Budionotaslim3,Capres,Fri Dec 15 04:03:57 +0000 2023,"Etikcom Party supports Mr. Anies can not stand the opposition of the PKB Nasdem, who is still a jabat Minister Imin, MSH, the Deputy Speaker of the DPRRI seems to be very comfortable with the power to withdraw"
12,lakcrws iroooo17 bu mahdzuroh lah juga dulu dukung prabowo lebih liberal anies hrs lebih anti jokowi pdip sejak kasus ahok,milktearoll,Capres,Fri Dec 15 04:03:57 +0000 2023,Lakcrws irooooo17 Mrs. Mahdzuroh also used to support Prabowo more liberal Anies must be more anti -Jokowi PDIP since the Ahok case
13,enrs asli rada hoream euy ceunah kebebasan berpendapat sugan teh geus balik deui jadi anies era nurcholis madjid meinginrial lecture,chandraknows,Capres,Fri Dec 15 04:03:55 +0000 2023,ENRS Original Rada Hoole Euy Ceunah Freedom of the opinion of Teh Geus Balik Deui Becomes Anies Era Nurcholis Madjid Meinginrial Lecture
14,bicara sesuai fakta anies lantang sebut lampung mempunyai alat pemantau polusi udara gacoan anies gempa daesang pagii batter up 100m views pilihan terbaik,AlirizaOctarina,Capres,Fri Dec 15 04:03:53 +0000 2023,Talk according to the facts of Anies Lantang Temut Lampung has an air pollution monitoring device Anies Anies Earthquake Daesang Pagii Batter Up 100m Views Best Choice
15,prabowo sindir anies baswedan apbd paling besar kok mas anies gagal memimpin jakarta gacoan anies gempa daesang pagii batter up 100m views pilihan terbaik,AlirizaOctarina,Capres,Fri Dec 15 04:03:53 +0000 2023,Prabowo Sindir Anies Baswedan APBD is the biggest Kok Anies failed to lead Jakarta Gacoan Anies Earthquake Daesang Pagii Batter Up 100m Views Best Choice
16,yang bilang anies ingindal kata doang pacarannya eco park tebet musuhin aja,visav99,Capres,Fri Dec 15 04:03:43 +0000 2023,who said Anies Ingindal said the dating eco Park tebet enemy
